Код;Наименование на русском;Наименование на кыргызском
0;A0;B0
1;A1;B1
2;A2;B2
3;A3;B3
4;A4;B4
5;A5;B5
6;A6;B6
7;A7;B7
8;A8;B8
9;A9;B9
10;A10;B10
11;A11;B11
12;A12;B12
13;A13;B13
14;A14;B14
15;A15;B15
16;A16;B16
17;A17;B17
18;A18;B18
19;A19;B19
20;A20;B20
21;A21;B21
22;A22;B22
23;A23;B23
24;A24;B24
25;A25;B25
26;A26;B26
27;A27;B27
28;A28;B28
29;A29;B29
30;A30;B30
31;A31;B31
32;A32;B32
33;A33;B33
34;A34;B34
35;A35;B35
36;A36;B36
37;A37;B37
38;A38;B38
39;A39;B39
40;A40;B40
41;A41;B41
42;A42;B42
43;A43;B43
44;A44;B44
45;A45;B45
46;A46;B46
47;A47;B47
48;A48;B48
49;A49;B49
50;A50;B50
51;A51;B51
52;A52;B52
53;A53;B53
54;A54;B54
55;A55;B55
56;A56;B56
57;A57;B57
58;A58;B58
59;A59;B59
60;A60;B60
61;A61;B61
62;A62;B62
63;A63;B63
64;A64;B64
65;A65;B65
66;A66;B66
67;A67;B67
68;A68;B68
69;A69;B69
70;A70;B70
71;A71;B71
72;A72;B72
73;A73;B73
74;A74;B74
75;A75;B75
76;A76;B76
77;A77;B77
78;A78;B78
79;A79;B79
80;A80;B80
81;A81;B81
82;A82;B82
83;A83;B83
84;A84;B84
85;A85;B85
86;A86;B86
87;A87;B87
88;A88;B88
89;A89;B89
90;A90;B90
91;A91;B91
92;A92;B92
93;A93;B93
94;A94;B94
95;A95;B95
96;A96;B96
97;A97;B97
98;A98;B98
99;A99;B99
100;A100;B100
101;A101;B101
102;A102;B102
103;A103;B103
104;A104;B104
105;A105;B105
106;A106;B106
107;A107;B107
108;A108;B108
109;A109;B109
110;A110;B110
111;A111;B111
112;A112;B112
113;A113;B113
114;A114;B114
115;A115;B115
116;A116;B116
117;A117;B117
118;A118;B118
119;A119;B119
120;A120;B120
121;A121;B121
122;A122;B122
123;A123;B123
124;A124;B124
125;A125;B125
126;A126;B126
127;A127;B127
128;A128;B128
129;A129;B129
130;A130;B130
131;A131;B131
132;A132;B132
133;A133;B133
134;A134;B134
135;A135;B135
136;A136;B136
137;A137;B137
138;A138;B138
139;A139;B139
140;A140;B140
141;A141;B141
142;A142;B142
143;A143;B143
144;A144;B144
145;A145;B145
146;A146;B146
147;A147;B147
148;A148;B148
149;A149;B149
150;A150;B150
151;A151;B151
152;A152;B152
153;A153;B153
154;A154;B154
155;A155;B155
156;A156;B156
157;A157;B157
158;A158;B158
159;A159;B159
160;A160;B160
161;A161;B161
162;A162;B162
163;A163;B163
164;A164;B164
165;A165;B165
166;A166;B166
167;A167;B167
168;A168;B168
169;A169;B169
170;A170;B170
171;A171;B171
172;A172;B172
173;A173;B173
174;A174;B174
175;A175;B175
176;A176;B176
177;A177;B177
178;A178;B178
179;A179;B179
180;A180;B180
181;A181;B181
182;A182;B182
183;A183;B183
184;A184;B184
185;A185;B185
186;A186;B186
187;A187;B187
188;A188;B188
189;A189;B189
190;A190;B190
191;A191;B191
192;A192;B192
193;A193;B193
194;A194;B194
195;A195;B195
196;A196;B196
197;A197;B197
198;A198;B198
199;A199;B199
200;A200;B200
201;A201;B201
202;A202;B202
203;A203;B203
204;A204;B204
205;A205;B205
206;A206;B206
207;A207;B207
208;A208;B208
209;A209;B209
210;A210;B210
211;A211;B211
212;A212;B212
213;A213;B213
214;A214;B214
215;A215;B215
216;A216;B216
217;A217;B217
218;A218;B218
219;A219;B219
220;A220;B220
221;A221;B221
222;A222;B222
223;A223;B223
224;A224;B224
225;A225;B225
226;A226;B226
227;A227;B227
228;A228;B228
229;A229;B229
230;A230;B230
231;A231;B231
232;A232;B232
233;A233;B233
234;A234;B234
235;A235;B235
236;A236;B236
237;A237;B237
238;A238;B238
239;A239;B239
240;A240;B240
241;A241;B241
242;A242;B242
243;A243;B243
244;A244;B244
245;A245;B245
246;A246;B246
247;A247;B247
248;A248;B248
249;A249;B249
250;A250;B250
251;A251;B251
252;A252;B252
253;A253;B253
254;A254;B254
255;A255;B255
256;A256;B256
257;A257;B257
258;A258;B258
259;A259;B259
260;A260;B260
261;A261;B261
262;A262;B262
263;A263;B263
